chr7	45567794	45575327	-	0610005C13Rik	antisense_lncRNA_gene
chr5	31048312	31054623	+	0610007C21Rik	protein_coding_gene
chr5	130217081	130243666	+	0610007L01Rik	protein_coding_gene
chr15	32240565	32244662	-	0610007N19Rik	lincRNA_gene
chr13	63815240	63900302	+	0610007P08Rik	protein_coding_gene
chr12	85815448	85824550	-	0610007P14Rik	protein_coding_gene
chr17	25240170	25242798	+	0610007P22Rik	protein_coding_gene
NA	NA	NA	NA	0610008F07Rik	NA
NA	NA	NA	NA	0610009B14Rik	NA
chr11	51685386	51688874	-	0610009B22Rik	protein_coding_gene
chr12	4817608	4827659	+	0610009D07Rik	protein_coding_gene
chr11	120348678	120351190	+	0610009L18Rik	protein_coding_gene
chr18	38250249	38262629	+	0610009O20Rik	protein_coding_gene
NA	NA	NA	NA	0610010B08Rik	NA
chr11	23564961	23633631	-	0610010F05Rik	protein_coding_gene
chr11	70235206	70237914	-	0610010K14Rik	protein_coding_gene
chr18	36345619	36402980	+	0610010O12Rik	protein_coding_gene
chr17	25875464	25886007	+	0610011F06Rik	protein_coding_gene
chr2	156547584	156568972	+	0610011L14Rik	protein_coding_gene
chr16	31947050	31948494	-	0610012G03Rik	protein_coding_gene
chr2	105224320	105379796	+	0610012H03Rik	protein_coding_gene
chr6	72347317	72353148	+	0610030E20Rik	protein_coding_gene
chr3	88325023	88331313	+	0610031J06Rik	protein_coding_gene
chr3	138210716	138240405	-	0610031O16Rik	antisense_lncRNA_gene
chr4	107889813	107899384	+	0610037L13Rik	protein_coding_gene
chr16	14299244	14317375	-	0610037P05Rik	protein_coding_gene
chr8	77517056	77518578	+	0610038B21Rik	antisense_lncRNA_gene
NA	NA	NA	NA	0610038L08Rik	NA
chr2	163644850	163645801	+	0610039K10Rik	antisense_lncRNA_gene
chr5	143329247	143332704	+	0610040B10Rik	antisense_lncRNA_gene
chr6	108577039	108660934	-	0610040F04Rik	antisense_lncRNA_gene
chr5	63812363	63899625	+	0610040J01Rik	protein_coding_gene
chr4	101353783	101399181	+	0610043K17Rik	lincRNA_gene
chr5	138255482	138259398	+	0910001L09Rik	protein_coding_gene
NA	NA	NA	NA	100043387	NA
chr11	83746940	83752642	+	1100001G20Rik	protein_coding_gene
chr17	78916500	78920306	+	1110001A16Rik	protein_coding_gene
chr6	38533502	38539449	+	1110001J03Rik	protein_coding_gene
chr12	54645392	54656573	-	1110002B05Rik	protein_coding_gene
chr12	3403878	3427011	-	1110002L01Rik	antisense_lncRNA_gene
